estimation_id,region_id,simd_width,global_size,local_size,thread_count,time,speed_up,bounded_by
474,327,16,"(200, 300)","(4, 64)",3750,0.7967311603124999,11.740971530134393,GTI_BW
475,327,16,"(200, 300)","(8, 1)",7500,1.296839775151515,7.21322560399344,Compute
476,327,16,"(200, 300)","(8, 2)",3750,0.7967311603124999,11.740971530134393,GTI_BW
477,327,16,"(200, 300)","(8, 4)",3750,0.7967311603124999,11.740971530134393,GTI_BW
478,327,16,"(200, 300)","(8, 8)",3750,0.7967311603124999,11.740971530134393,GTI_BW
479,327,16,"(200, 300)","(8, 16)",3750,0.7967311603124999,11.740971530134393,GTI_BW
480,327,16,"(200, 300)","(8, 32)",3750,0.7967311603124999,11.740971530134393,GTI_BW
481,327,16,"(200, 300)","(16, 1)",3900,0.7936581257670453,11.786432428143133,GTI_BW
482,327,16,"(200, 300)","(16, 2)",3750,0.7967311603124999,11.740971530134393,GTI_BW
483,327,16,"(200, 300)","(16, 4)",3750,0.7967311603124999,11.740971530134393,GTI_BW
484,327,16,"(200, 300)","(16, 8)",3750,0.7967311603124999,11.740971530134393,GTI_BW
485,327,16,"(200, 300)","(16, 16)",3750,0.7967311603124999,11.740971530134393,GTI_BW
486,327,16,"(200, 300)","(32, 1)",3900,0.7936581257670453,11.786432428143133,GTI_BW
487,327,16,"(200, 300)","(32, 2)",3750,0.7967311603124999,11.740971530134393,GTI_BW
488,327,16,"(200, 300)","(32, 4)",3750,0.7967311603124999,11.740971530134393,GTI_BW
489,327,16,"(200, 300)","(32, 8)",3750,0.7967311603124999,11.740971530134393,GTI_BW
490,327,16,"(200, 300)","(64, 1)",3900,0.7936581257670453,11.786432428143133,GTI_BW
491,327,16,"(200, 300)","(64, 2)",3750,0.7967311603124999,11.740971530134393,GTI_BW
492,327,16,"(200, 300)","(64, 4)",3750,0.7967311603124999,11.740971530134393,GTI_BW
493,327,16,"(200, 300)","(128, 1)",3900,0.7936581257670453,11.786432428143133,GTI_BW
494,327,16,"(200, 300)","(128, 2)",3750,0.7967311603124999,11.740971530134393,GTI_BW
495,327,16,"(200, 300)","(256, 1)",3900,0.7936581257670453,11.786432428143133,GTI_BW
496,327,32,"(200,)","(8,)",25,9.297639197272728,1.0061046327915073,Trip_Count
497,327,32,"(200, 300)","(1, 8)",7600,2.3024231093939393,4.062849192328658,Compute
498,327,32,"(200,)","(16,)",13,9.300712231818181,1.0057722072507695,Trip_Count
499,327,32,"(200, 300)","(1, 16)",3800,1.2497982299999997,7.484726450924807,Compute
500,327,32,"(200,)","(32,)",7,8.987735482727272,1.0407958587986248,Trip_Count
501,327,32,"(200, 300)","(1, 32)",2000,0.735270469403409,12.72239027631569,GTI_BW
502,327,32,"(200,)","(64,)",7,8.987735482727272,1.0407958587986248,Trip_Count
503,327,32,"(200, 300)","(1, 64)",2000,0.735270469403409,12.72239027631569,GTI_BW
504,327,32,"(200,)","(128,)",7,8.987735482727272,1.0407958587986248,Trip_Count
505,327,32,"(200, 300)","(1, 128)",2000,0.735270469403409,12.72239027631569,GTI_BW
506,327,32,"(200,)","(256,)",7,8.987735482727272,1.0407958587986248,Trip_Count
507,327,32,"(200, 300)","(1, 256)",2000,0.735270469403409,12.72239027631569,GTI_BW
508,327,32,"(200, 300)","(2, 4)",7500,2.305496143939394,4.057433752379292,Compute
509,327,32,"(200, 300)","(2, 8)",3800,1.2497982299999997,7.484726450924807,Compute
510,327,32,"(200, 300)","(2, 16)",1900,0.7383435039488635,12.669438845700029,GTI_BW
511,327,32,"(200, 300)","(2, 32)",1900,0.7383435039488635,12.669438845700029,GTI_BW
512,327,32,"(200, 300)","(2, 64)",1900,0.7383435039488635,12.669438845700029,GTI_BW
